species,genus,family,species.relative,genus.relative
Streptopelia orientalis,Streptopelia
Strix leptogrammica,Strix
Sturnus sericeus,Sturnus
Sturnus sinensis,Sturnus
Surniculus lugubris,Surniculus
Tarsiger cyanurus,Tarsiger
Tephrodornis gularis,Tephrodornis
Terpsiphone paradisi,Terpsiphone
Treron bicincta,Treron
Treron curvirostra,Treron
Tringa glareola,Tringa
Tringa hypoleucos,Tringa
Tringa nebularia,Tringa
Tringa ochropus,Tringa
Turdus cardis,Turdus
Turdus merula,Turdus
Turnix suscitator,Turnix
Turnix tanki,Turnix
Upupa epops,Upupa
Yuhina zantholeuca,Yuhina
Zoothera citrina,Zoothera
Zoothera dauma,Zoothera
Zoothera sibirica,Zoothera
Zosterops japonica,Zosterops



















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































