"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"G","Strigidae","Xenoglaux","N8019",19.04932211,"N8019",19.04932211,1,1,"Xenoglaux_loweryi"
"G","Leptosomidae","Leptosomus","N8042",80.8564008,"N8042",80.8564008,1,1,"Leptosomus_discolor"
"G","Trogonidae","Pharomachrus","N8046",20.8980417131,"N8047",13.91895156,1,5,""
"G","Trogonidae","Euptilotis","N8046",20.8980417,"N8046",20.8980417,1,1,"Euptilotis_neoxenus"
"G","Trogonidae","Priotelus","N8052",28.0637957931,"N8053",15.96777666,1,2,""
"G","Trogonidae","Trogon","N8052",28.0637957931,"N8054",22.0258619208,1,20,""
"G","Trogonidae","Apaloderma","N8073",28.3663875271,"N8074",12.23831797,1,3,""
"G","Trogonidae","Harpactes","N8073",28.3663875271,"N8076",22.191293012,1,10,""
"G","Trogonidae","Apalharpactes","N8044",40.5889091321,"N8085",21.41010413,1,2,""
"G","Bucerotidae","Tockus","N8089",33.4392139431,"N8090",18.282016871,1,14,""
"G","Bucorvidae","Bucorvus","N8089",33.4392139431,"N8103",8.909769483,1,2,""
"G","Bucerotidae","Ocyceros","N8106",25.2036970021,"N8107",21.07912884,1,3,""
"G","Bucerotidae","Tropicranus","N8109",18.66562275,"N8109",18.66562275,1,1,"Tropicranus_albocristatus"
"G","Bucerotidae","Ceratogymna","N8110",12.9244322631,"N8111",3.466957602,1,2,""
"G","Bucerotidae","Bycanistes","N8110",12.9244322631,"N8112",10.625515925,1,6,""
"G","Bucerotidae","Buceros","N8117",16.8574238641,"N8118",13.80513739,1,3,""
"G","Bucerotidae","Rhinoplax","N8117",16.85742385,"N8117",16.85742385,1,1,"Rhinoplax_vigil"
"G","Bucerotidae","Anthracoceros","N8121",29.7703616871,"N8122",18.884144462,1,5,""
"G","Bucerotidae","Anorrhinus","N8121",29.7703616871,"N8126",16.185061575,1,3,""
"G","Bucerotidae","Penelopides","N8133",12.7064427051,"N8134",3.820663795,1,6,""
"G","Bucerotidae","Aceros","N8120",31.7231893291,"N8128",27.929303529,1,8,""
"G","Phoeniculidae","Phoeniculus","N8145",23.6416584241517,"N8146",17.209328437,1,5,""
"G","Phoeniculidae","Rhinopomastus","N8145",23.6416584241517,"N8150",14.37783351,1,3,""
"G","Upupidae","Upupa","N8144",23.64189483,"N8144",23.64189483,1,1,"Upupa_epops"
"G","Meropidae","Meropogon","N8155",13.98320488,"N8155",13.98320488,1,1,"Meropogon_forsteni"
"G","Meropidae","Merops","N8155",13.9832048777,"N8156",12.7832083247,1,23,""
"G","Meropidae","Nyctyornis","N8154",40.2080712677,"N8178",5.389078466,1,2,""
"G","Brachypteraciidae","Atelornis","N8183",13.6108709737,"N8184",12.42871666,1,2,""
"G","Brachypteraciidae","Uratelornis","N8183",13.61087096,"N8183",13.61087096,1,1,"Uratelornis_chimaera"
"G","Brachypteraciidae","Brachypteracias","N8181",22.78952367,"N8181",22.78952367,1,1,"Brachypteracias_leptosomus"
"G","Coraciidae","Coracias","N8185",19.4637772987,"N8186",11.391181463,1,8,""
"G","Coraciidae","Eurystomus","N8185",19.4637772987,"N8193",9.84515168,1,4,""
"G","Todidae","Todus","N8196",55.6143486477,"N8197",43.7064808,1,5,""
"G","Alcedinidae","Pelargopsis","N8205",18.4408007377,"N8206",13.36206316,1,3,""
"G","Alcedinidae","Halcyon","N8205",18.4408007377,"N8208",14.267148939,1,11,""
"G","Alcedinidae","Clytoceyx","N8221",6.578466973,"N8221",6.578466973,1,1,"Clytoceyx_rex"
"G","Alcedinidae","Dacelo","N8221",6.5784669767,"N8222",3.334321955,1,4,""
"G","Alcedinidae","Melidora","N8220",13.01556409,"N8220",13.01556409,1,1,"Melidora_macrorrhina"
"G","Alcedinidae","Cittura","N8225",13.48321543,"N8225",13.48321543,1,1,"Cittura_cyanotis"
"G","Alcedinidae","Tanysiptera","N8225",13.4832154287,"N8226",7.583232736,1,8,""
"G","Alcedinidae","Actenoides","N8233",18.3862892887,"N8234",12.218086,1,6,""
"G","Alcedinidae","Caridonax","N8239",15.33876572,"N8239",15.33876572,1,1,"Caridonax_fulgidus"
"G","Alcedinidae","Syma","N8240",14.4284130173,"N8241",4.439318238,1,2,""
"G","Alcedinidae","Todiramphus","N8240",14.4284130173,"N8242",14.0583624414,1,22,""
"G","Alcedinidae","Lacedo","N8203",28.50020982,"N8203",28.50020982,1,1,"Lacedo_pulchella"
"G","Alcedinidae","Ceyx","N8263",37.0154203067,"N8264",14.859269555,1,5,""
"G","Alcedinidae","Alcedo","N8270",13.7595333627,"N8280",11.3026810963,1,7,""
"G","Alcedinidae","Megaceryle","N8286",24.6959888167,"N8287",11.7460214,1,4,""
"G","Alcedinidae","Ceryle","N8290",21.89904058,"N8290",21.89904058,1,1,"Ceryle_rudis"
"G","Alcedinidae","Chloroceryle","N8290",21.8990405857,"N8291",15.243742227,1,4,""
"G","Momotidae","Momotus","N8296",9.27544855470001,"N8297",8.9499557594,1,3,""
"G","Momotidae","Aspatha","N8299",5.841004656,"N8299",5.841004656,1,1,"Aspatha_gularis"
"G","Momotidae","Baryphthengus","N8299",5.841004656,"N8299",5.841004656,1,1,"Baryphthengus_martii"
"G","Momotidae","Hylomanes","N8300",32.59430879,"N8300",32.59430879,1,1,"Hylomanes_momotula"
"G","Momotidae","Eumomota","N8301",9.295025291,"N8301",9.295025291,1,1,"Eumomota_superciliosa"
"G","Momotidae","Electron","N8301",9.29502529570001,"N8302",8.509266496,1,2,""
"G","Bucconidae","Nonnula","N8308",27.879342544,"N8309",21.93810678,1,6,""
"G","Bucconidae","Notharchus","N8308",27.879342544,"N8314",15.98481094,1,6,""
"G","Bucconidae","Hypnelus","N8320",3.595825051,"N8320",3.595825051,1,1,"Hypnelus_ruficollis"
"G","Bucconidae","Hapaloptila","N8320",3.595825051,"N8320",3.595825051,1,1,"Hapaloptila_castanea"
"G","Bucconidae","Micromonacha","N8319",5.648487208,"N8319",5.648487208,1,1,"Micromonacha_lanceolata"
"G","Bucconidae","Malacoptila","N8306",31.4514343577,"N8321",20.8563423,1,7,""
"G","Bucconidae","Nystalus","N8330",13.8424075587,"N8331",10.074930775,1,4,""
"G","Bucconidae","Monasa","N8330",13.8424075587,"N8334",2.957266019,1,4,""
"G","Bucconidae","Chelidoptera","N8337",6.30616318,"N8337",6.30616318,1,1,"Chelidoptera_tenebrosa"
"G","Bucconidae","Bucco","N8305",36.6870281337,"N8327",28.71128345,1,3,""
"G","Galbulidae","Galbula","N8341",25.0646360187,"N8342",23.624163412,1,10,""
"G","Galbulidae","Galbalcyrhynchus","N8341",25.0646360187,"N8351",24.6185187,1,2,""
"G","Galbulidae","Jacamerops","N8340",34.80803447,"N8340",34.80803447,1,1,"Jacamerops_aureus"
"G","Galbulidae","Jacamaralcyon","N8352",37.31936054,"N8352",37.31936054,1,1,"Jacamaralcyon_tridactyla"
"G","Galbulidae","Brachygalba","N8352",37.3193605527,"N8353",24.93802032,1,4,""
"G","Lybiidae","Pogoniulus","N8361",15.3515066347,"N8362",13.463558133,1,10,""
"G","Lybiidae","Lybius","N8372",10.1282829418,"N8373",9.488427744,1,4,""
"G","Lybiidae","Tricholaema","N8383",8.93416267680003,"N8384",1.837370411,1,2,""
"G","Lybiidae","Gymnobucco","N8390",5.82117662290001,"N8391",3.254466566,1,4,""
"G","Lybiidae","Stactolaema","N8388",14.8264900577,"N8389",14.3137803814,1,4,""
"G","Lybiidae","Buccanodon","N8388",14.82649005,"N8388",14.82649005,1,1,"Buccanodon_duchaillui"
"G","Lybiidae","Trachyphonus","N8359",24.0780556977,"N8396",15.016812661,1,6,""
"G","Ramphastidae","Ramphastos","N8403",13.2632068757,"N8404",4.3266306023,1,8,""
"G","Ramphastidae","Pteroglossus","N8411",12.5618350259,"N8412",4.439286312,1,11,""
"G","Ramphastidae","Aulacorhynchus","N8422",10.9830397009,"N8423",6.97362006,1,6,""
"G","Ramphastidae","Selenidera","N8428",7.1377171399,"N8429",6.651022725,1,6,""
"G","Ramphastidae","Andigena","N8428",7.1377171399,"N8434",2.4895774137,1,4,""
"G","Semnornithidae","Semnornis","N8402",15.7882999607,"N8437",6.817788141,1,2,""
"G","Capitonidae","Eubucco","N8438",14.8225275437,"N8439",8.795668322,1,4,""
"G","Capitonidae","Capito","N8438",14.8225275437,"N8442",10.39375044,1,10,""
"G","Megalaimidae","Megalaima","N8451",21.4668949847,"N8452",16.092739655,1,23,""
"G","Megalaimidae","Psilopogon","N8476",3.603470893,"N8476",3.603470893,1,1,"Psilopogon_pyrolophus"
"G","Megalaimidae","Calorhamphus","N8451",21.46689497,"N8451",21.46689497,1,1,"Calorhamphus_fuliginosus"
"G","Picidae","Sasia","N8480",20.6547957897,"N8481",12.479002,1,3,""
"G","Picidae","Picumnus","N8483",20.1548721004,"N8484",12.575387356,1,27,""
"G","Picidae","Xiphidiopicus","N8510",19.20551032,"N8510",19.20551032,1,1,"Xiphidiopicus_percussus"
"G","Picidae","Blythipicus","N8514",12.0941789664,"N8515",5.989179215,1,2,""
"G","Picidae","Campephilus","N8516",9.5015544144,"N8517",5.1479497172,1,11,""
"G","Picidae","Chrysocolaptes","N8527",5.11669122240001,"N8528",0.2649824886,1,2,""
"G","Picidae","Reinwardtipicus","N8527",5.116691211,"N8527",5.116691211,1,1,"Reinwardtipicus_validus"
"G","Picidae","Campethera","N8531",5.59918134060001,"N8532",4.8366949921,1,12,""
"G","Picidae","Geocolaptes","N8531",5.599181329,"N8531",5.599181329,1,1,"Geocolaptes_olivaceus"
"G","Picidae","Picus","N8530",10.3000162766,"N8543",8.504813653,1,15,""
"G","Picidae","Colaptes","N8559",8.12973658700001,"N8560",5.671141874,1,12,""
"G","Picidae","Piculus","N8559",8.12973658700001,"N8571",5.502992126,1,7,""
"G","Picidae","Celeus","N8577",8.13831222890001,"N8578",5.344662762,1,9,""
"G","Picidae","Mulleripicus","N8586",6.37796641290001,"N8587",3.884763772,1,3,""
"G","Picidae","Dryocopus","N8586",6.37796641290001,"N8589",5.46819097,1,7,""
"G","Picidae","Meiglyptes","N8596",6.40598252760002,"N8597",2.678179421,1,3,""
"G","Picidae","Dinopium","N8600",8.10978586920001,"N8601",4.745017699,1,4,""
"G","Picidae","Gecinulus","N8604",3.65012117820001,"N8605",2.400096398,1,2,""
"G","Picidae","Mesopicos","N8616",6.54177713400003,"N8617",2.806985168,1,2,""
"G","Picidae","Thripias","N8616",6.54177713400003,"N8618",4.165495908,1,3,""
"G","Picidae","Dendropicos","N8620",5.59363405390002,"N8621",5.49929574,1,8,""
"G","Picidae","Dendrocopos","N8628",9.55127199890001,"N8629",6.583160955,1,8,""
